Query,Role,Table Sensitivity,Average Data Size,Frequency Score
1,0.7,1.9,0.49485303578561324,1.490530598443937
1,0.5,1.4,0.4129757614018669,5.113822457913198
1,0.5,3.1,0.7130114254806275,0.17215487483072772
1,0.8,1.3,0.4819067794937178,2.6891710153144484
1,0.6,3.1,0.31040338469993306,0.7808350740373737
1,1.0,2.2,0.37936136800620956,2.720417416403979
1,0.8,1.7000000000000002,0.015874124476535065,5.495104461760366
1,0.6,3.0999999999999996,0.615007743923198,6.062713695780512
1,0.6,1.6,0.618191539664671,4.360607163061229
1,1.0,2.2,0.39585819901176444,5.448904669820677
1,0.5,1.4,0.42865613990936713,0.8837175711083974
1,1.0,2.2,0.7906194697541946,2.6638245545536186
1,0.8,1.4,0.9169004035470153,1.4127810428389167
1,1.0,1.6,0.9152161608055714,3.2220698945177864
1,0.5,1.4,0.39329457325491785,3.045435103833525
1,0.5,3.1,0.2839082479672632,2.2959543092062495
1,0.8,1.4,0.6547733721762135,5.439272042355108
1,0.5,1.7,0.9506714098356707,4.014619266636752
1,0.5,1.4,0.24521104693006412,4.8865608062785535
1,1.0,1.6,0.4447659095419774,0.21655349331744264
1,0.6,1.4,0.8803787622128167,5.484892552147714
1,0.7,1.7000000000000002,0.5318997396698063,3.9216385842788153
1,0.7,1.4,0.55242951862045,6.388909079956213
1,0.6,1.4,0.6458671822323198,6.098317416509002
1,0.8,1.7000000000000002,0.4151016673311437,4.533881649497903
1,0.8,3.1,0.49842598092450957,3.4258275247294323
1,0.7,1.7,0.6737837697733405,1.8414038845116834
1,0.7,1.4,0.11323057314744163,6.459897496100265
1,0.6,1.6,0.42692490454638166,6.539196497701046
1,0.5,1.4,0.09103706220311357,6.693098417554464
1,1.0,2.2,0.3793008467200897,2.989312018896127
1,1.0,1.6,0.04142870763526473,2.687082396115015
1,0.5,1.6,0.5312780278002713,2.9766117779443193
1,1.0,2.2,0.6353205609694536,5.059441537147419
1,0.5,1.4,0.2781756874977436,1.6961574599285245
1,0.7,3.1,0.42118988682039243,5.637463803384961
1,0.6,3.1,0.13597497169076453,4.788611169741292
1,0.8,1.7,0.9453695038270751,4.837991327668969
1,0.8,3.1,0.6222094007905032,0.4106659632408983
1,0.5,1.4,0.7093155211340098,0.47955761728113955
1,0.7,1.3,0.40359446342315186,6.296942644993772
1,0.6,1.4,0.6640675779063354,5.277944208771672
1,1.0,2.2,0.8031780200776489,3.8242091387801933
1,0.7,1.7000000000000002,0.560578620980047,0.1715288008802424
1,1.0,2.6999999999999997,0.5436092390212582,3.792466153378259
1,0.5,3.1,0.3774038698724059,3.5041563137073775
1,0.7,3.0999999999999996,0.4807564284058561,2.338865542021405
1,0.5,1.7,0.11760568458888115,2.7108479824012806
1,0.6,1.4,0.6482225206827354,0.7609481636582198
